,number,county,state,lat,lng
285,33336,Sabine County,Texas,31.2974233,-93.8248241
286,34260,Anderson County,Tennessee,36.0809574,-84.2278796
287,37558,Carroll County,Maryland,39.5423418,-77.0564464
288,39990,Christian County,Illinois,39.5672183,-89.3226954
289,36671,Curry County,Oregon,42.54405029999999,-124.2781762
290,46728,Flagler County,Florida,29.4086072,-81.2518833
291,40381,Grays Harbor County,Washington,46.9953526,-123.7012468
292,31860,Isabella County,Michigan,43.598799,-84.8567932
293,36852,Kittitas County,Washington,47.17495479999999,-120.931941
294,31986,Le Flore County,Oklahoma,34.8622042,-94.645035
295,34899,Missoula County,Montana,47.0240503,-113.6869923
296,35778,Montgomery County,Texas,30.3213482,-95.4777811
297,44166,Morgan County,Indiana,39.51168089999999,-86.3376761
298,35914,Roane County,Tennessee,35.836117,-84.56414699999999
299,44808,St. Louis County,Minnesota,47.7395106,-92.3623921
300,44783,Kalkaska County,Michigan,44.66744449999999,-85.02334599999999
301,40314,Lake County,Illinois,42.3689363,-87.8271534
302,47557,Leelanau County,Michigan,45.0821226,-86.07336339999999
303,3570,McKean County,Pennsylvania,41.8133351,-78.4751945
304,46320,McKean County,Pennsylvania,41.8133351,-78.4751945
305,42351,Missaukee County,Michigan,44.366621,-85.02334599999999
306,43120,Winston County,Alabama,34.1690087,-87.3413599
307,46475,Franklin County,Missouri,38.3953601,-91.13530200000001
308,43733,Hillsdale County,Michigan,41.8685961,-84.5222189
309,46401,Kalkaska County,Michigan,44.66744449999999,-85.02334599999999
310,43853,Lehigh County,Pennsylvania,40.6519679,-75.5742467
311,47107,Lewis County,Washington,46.6195461,-122.4554639
312,45616,Montgomery County,Texas,30.3213482,-95.4777811
313,46826,Reynolds County,Missouri,37.378663,-90.9820668
314,45604,Tazewell County,Virginia,37.124747,-81.5596427
315,48746,Brevard County,Florida,28.263933,-80.7214417
316,49238,Clarke County,Alabama,31.7002461,-87.77633329999999
317,49919,Iron County,Missouri,37.5515182,-90.6773046
318,56202,Logan County,Kentucky,36.869834,-86.86218269999999
319,50721,Macon County,North Carolina,35.1197519,-83.33618799999999
320,50469,Nicholas County,West Virginia,38.3307714,-80.7657804
321,49909,Osage County,Oklahoma,36.6189367,-96.2375947
322,55476,Washington County,Vermont,44.1986663,-72.6972529
323,57872,Bingham County,Idaho,43.2112303,-112.3624146
324,51934,Hillsborough County,New Hampshire,42.83347939999999,-71.6673352
325,59799,Marinette County,Wisconsin,45.3581961,-88.0649606
326,55583,Randolph County,West Virginia,38.8092552,-80.0087746
327,62449,Skamania County,Washington,45.9428524,-121.8962257
328,58768,Conway County,Arkansas,35.2727492,-92.6983868
329,57789,Lewis County,Washington,46.6195461,-122.4554639
330,59532,Maries County,Missouri,38.1738674,-91.949021
